Week,Team,Points,Opponent,Opponent points,Year,Win?
13,Franks,126.58,Average Joes,140.84,2017,FALSE
13,Average Joes,140.84,Franks,126.58,2017,TRUE
13,The Adult Beverages,113.56,Marienlyst Mofo's,166.63,2017,FALSE
13,Marienlyst Mofo's,166.63,The Adult Beverages,113.56,2017,TRUE
14,The Indubitablys,114.4,Average Joes,140.74,2017,FALSE
14,Average Joes,140.74,The Indubitablys,114.4,2017,TRUE
14,Binaries,136.05,The Adult Beverages,173.68,2017,FALSE
14,The Adult Beverages,173.68,Binaries,136.05,2017,TRUE
14,Earthbreakwood,87.63,Priests with guns,130,2017,FALSE
14,Priests with guns,130,Earthbreakwood,87.63,2017,TRUE
14,Franks,145.42,Polk High Panthers,154.5,2017,FALSE
14,Polk High Panthers,154.5,Franks,145.42,2017,TRUE
14,The Chillybows,131.67,Marienlyst Mofo's,169.41,2017,FALSE
14,Marienlyst Mofo's,169.41,The Chillybows,131.67,2017,TRUE
1,The Indubitablys,116.63,Priests with guns,224.82,2016,FALSE
1,Priests with guns,224.82,The Indubitablys,116.63,2016,TRUE
1,Binaries,133.16,The Chillybows,179.26,2016,FALSE
1,The Chillybows,179.26,Binaries,133.16,2016,TRUE
1,Earthbreakwood,141.75,Franks,141.57,2016,TRUE
1,Franks,141.57,Earthbreakwood,141.75,2016,FALSE
1,The Adult Beverages,140.58,Polk High Panthers,126.96,2016,TRUE
1,Polk High Panthers,126.96,The Adult Beverages,140.58,2016,FALSE
2,The Indubitablys,158.88,Polk High Panthers,160.9,2016,FALSE
2,Polk High Panthers,160.9,The Indubitablys,158.88,2016,TRUE
2,Binaries,125.37,Franks,110.01,2016,TRUE
2,Franks,110.01,Binaries,125.37,2016,FALSE
2,Earthbreakwood,188.94,The Chillybows,140.15,2016,TRUE
2,The Chillybows,140.15,Earthbreakwood,188.94,2016,FALSE
2,The Adult Beverages,141.16,Priests with guns,107.39,2016,TRUE
2,Priests with guns,107.39,The Adult Beverages,141.16,2016,FALSE
3,The Indubitablys,182.52,Franks,147.59,2016,TRUE
3,Franks,147.59,The Indubitablys,182.52,2016,FALSE
3,Binaries,202.11,Polk High Panthers,138.77,2016,TRUE
3,Polk High Panthers,138.77,Binaries,202.11,2016,FALSE
3,Earthbreakwood,90.7,Priests with guns,87.85,2016,TRUE
3,Priests with guns,87.85,Earthbreakwood,90.7,2016,FALSE
3,The Adult Beverages,148.64,The Chillybows,212.36,2016,FALSE
3,The Chillybows,212.36,The Adult Beverages,148.64,2016,TRUE
4,The Indubitablys,169.13,The Chillybows,151.23,2016,TRUE
4,The Chillybows,151.23,The Indubitablys,169.13,2016,FALSE
4,Binaries,135.82,Priests with guns,142.28,2016,FALSE
4,Priests with guns,142.28,Binaries,135.82,2016,TRUE
4,Earthbreakwood,119.27,Polk High Panthers,91.13,2016,TRUE
4,Polk High Panthers,91.13,Earthbreakwood,119.27,2016,FALSE
4,Franks,164.25,The Adult Beverages,121.34,2016,TRUE
4,The Adult Beverages,121.34,Franks,164.25,2016,FALSE
5,The Indubitablys,175.66,The Adult Beverages,111.64,2016,TRUE
5,The Adult Beverages,111.64,The Indubitablys,175.66,2016,FALSE
5,Binaries,126.58,Earthbreakwood,148.23,2016,FALSE
5,Earthbreakwood,148.23,Binaries,126.58,2016,TRUE
5,Franks,177.07,The Chillybows,144.18,2016,TRUE
5,The Chillybows,144.18,Franks,177.07,2016,FALSE
5,Polk High Panthers,130.86,Priests with guns,92.43,2016,TRUE
5,Priests with guns,92.43,Polk High Panthers,130.86,2016,FALSE
6,The Indubitablys,169.4,Binaries,150.45,2016,TRUE
6,Binaries,150.45,The Indubitablys,169.4,2016,FALSE
6,Earthbreakwood,125.94,The Adult Beverages,93.53,2016,TRUE
6,The Adult Beverages,93.53,Earthbreakwood,125.94,2016,FALSE
6,Franks,128.07,Polk High Panthers,152.4,2016,FALSE
6,Polk High Panthers,152.4,Franks,128.07,2016,TRUE
6,Priests with guns,183.66,The Chillybows,112.6,2016,TRUE
6,The Chillybows,112.6,Priests with guns,183.66,2016,FALSE
7,The Indubitablys,101.05,Earthbreakwood,167.86,2016,FALSE
7,Earthbreakwood,167.86,The Indubitablys,101.05,2016,TRUE
7,Binaries,148.24,The Adult Beverages,159.84,2016,FALSE
7,The Adult Beverages,159.84,Binaries,148.24,2016,TRUE
7,Franks,149.84,Priests with guns,139.61,2016,TRUE
7,Priests with guns,139.61,Franks,149.84,2016,FALSE
7,Polk High Panthers,129.01,The Chillybows,184.83,2016,FALSE
7,The Chillybows,184.83,Polk High Panthers,129.01,2016,TRUE
8,The Indubitablys,144.49,Priests with guns,137.22,2016,TRUE
8,Priests with guns,137.22,The Indubitablys,144.49,2016,FALSE
8,Binaries,135.99,The Chillybows,129.65,2016,TRUE
8,The Chillybows,129.65,Binaries,135.99,2016,FALSE
8,Earthbreakwood,175.63,Franks,129.49,2016,TRUE
8,Franks,129.49,Earthbreakwood,175.63,2016,FALSE
8,The Adult Beverages,103.27,Polk High Panthers,128.23,2016,FALSE
8,Polk High Panthers,128.23,The Adult Beverages,103.27,2016,TRUE
9,The Indubitablys,115.93,Polk High Panthers,120.59,2016,FALSE
9,Polk High Panthers,120.59,The Indubitablys,115.93,2016,TRUE
9,Binaries,141.78,Franks,138.35,2016,TRUE
9,Franks,138.35,Binaries,141.78,2016,FALSE
9,Earthbreakwood,166.82,The Chillybows,143.56,2016,TRUE
9,The Chillybows,143.56,Earthbreakwood,166.82,2016,FALSE
9,The Adult Beverages,138.41,Priests with guns,146.82,2016,FALSE
9,Priests with guns,146.82,The Adult Beverages,138.41,2016,TRUE
10,The Indubitablys,116.52,Franks,175.39,2016,FALSE
10,Franks,175.39,The Indubitablys,116.52,2016,TRUE
10,Binaries,167.92,Polk High Panthers,145.56,2016,TRUE
10,Polk High Panthers,145.56,Binaries,167.92,2016,FALSE
10,Earthbreakwood,155.24,Priests with guns,136.51,2016,TRUE
10,Priests with guns,136.51,Earthbreakwood,155.24,2016,FALSE
10,The Adult Beverages,112.1,The Chillybows,161.73,2016,FALSE
10,The Chillybows,161.73,The Adult Beverages,112.1,2016,TRUE
11,The Indubitablys,133.27,The Chillybows,142.03,2016,FALSE
11,The Chillybows,142.03,The Indubitablys,133.27,2016,TRUE
11,Binaries,192.47,Priests with guns,138.83,2016,TRUE
11,Priests with guns,138.83,Binaries,192.47,2016,FALSE
11,Earthbreakwood,106.07,Polk High Panthers,105.7,2016,TRUE
11,Polk High Panthers,105.7,Earthbreakwood,106.07,2016,FALSE
11,Franks,150.99,The Adult Beverages,123.03,2016,TRUE
